titleid|console|mediatype|name|namelang|parentallevel|icon|iconlang|resolution|soundformat
NPUB31486|ps3|edi|Battle Princess of Arcadias||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31486_00_D2A7FFCC09729D87E881EA60F4732E464D7E8D15/ICON0.PNG||480,576,720|2LPCM
NPUB31487|ps3|edi|Yaiba: Ninja Gaiden Z Sountrack|"<name lang=""1"">Yaiba: Ninja Gaiden Z Sountrack</name><name lang=""2"">Bande originale de Yaiba: Ninja Gaiden Z</name><name lang=""3"">Banda sonora de Yaiba: Ninja Gaiden Z</name><name lang=""4"">Soundtrack zu Yaiba: Ninja Gaiden Z</name><name lang=""5"">Yaiba: Ninja Gaiden Z - Colonna sonora</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31487_00_9E6565B61829AEB9C13F906FA97F1A251D645208/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31488|ps3|edi|Hatsune Miku: Project DIVA F 2nd||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31488_00_6943D20F7FF43045A8EA57B72F848C963C52CA2F/ICON0.PNG||480,720,1080,480SQ|2LPCM
NPUB31489|ps3|edi|EL CHAVO KART|"<name lang=""1"">EL CHAVO KART</name><name lang=""3"">EL CHAVO KART</name><name lang=""17"">EL CHAVO KART</name>"|4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31489_00_310CB2333E90C271EFAD9E7CC9D226AB84BC1B44/ICON0.PNG|"<icon lang=""1"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31489_00_310CB2333E90C271EFAD9E7CC9D226AB84BC1B44/ICON0_01.PNG</icon><icon lang=""3"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31489_00_310CB2333E90C271EFAD9E7CC9D226AB84BC1B44/ICON0_03.PNG</icon><icon lang=""7"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31489_00_310CB2333E90C271EFAD9E7CC9D226AB84BC1B44/ICON0_07.PNG</icon><icon lang=""17"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31489_00_310CB2333E90C271EFAD9E7CC9D226AB84BC1B44/ICON0_17.PNG</icon>"|480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31490|ps3|edi|Syberia 2||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31490_00_09932BDBD0312ECF125A65CC6D40A07390CDFE79/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31492|ps3|edi|Putty Squad||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31492_00_222E70E6DF8C49EA4785B7FF3C05B7C90887D28A/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31493|ps3|edi|Blood of the Werewolf||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31493_00_32CCA928AE2274DAFFE284A1C4FDC3235387116A/ICON0.PNG||480,720|2LPCM,5.1LPCM
NPUB31494|ps3|edi|Cartoon Network Punch Time Explosion XL||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31494_00_F77650130D61D1810B74B24409A97DD4E323BD8D/ICON0.PNG||480,720|2LPCM
NPUB31495|ps3|edi|Risen 3 - Titan Lords||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31495_00_726F45F8195A3058831208DAF063141B9B8BB260/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM
NPUB31496|ps3|edi|Escape Dead Island||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31496_00_68746DEB6BCA1C4A477F2611C508C466889D3C04/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,Dolby,DTS
NPUB31497|ps3|edi|The Treasures of Montezuma 4||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31497_00_BEE671EFFBC6D0DB877C2C7B049C1AD77707FFE7/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31499|ps3|edi|LEGO® Batman™ 3|"<name lang=""1"">LEGO® Batman™ 3</name><name lang=""2"">LEGO® Batman™ 3</name><name lang=""3"">LEGO® Batman™ 3</name><name lang=""17"">LEGO® Batman™ 3</name>"|4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31499_00_29B802A3FAF0B13C934587BC385686E84DBCBC73/ICON0.PNG|"<icon lang=""1"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31499_00_29B802A3FAF0B13C934587BC385686E84DBCBC73/ICON0_01.PNG</icon><icon lang=""2"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31499_00_29B802A3FAF0B13C934587BC385686E84DBCBC73/ICON0_02.PNG</icon><icon lang=""3"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31499_00_29B802A3FAF0B13C934587BC385686E84DBCBC73/ICON0_03.PNG</icon>"|480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby
NPUB31500|ps3|edi|Teenage Mutant Ninja Turtles™: Danger of the Ooze|"<name lang=""2"">Teenage Mutant Ninja Turtles™: Attention au Mutagène</name>"|4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31500_00_4DCEFCABD4345ED78D9544F66C4AC8106EAA0E4A/ICON0.PNG|"<icon lang=""2"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31500_00_4DCEFCABD4345ED78D9544F66C4AC8106EAA0E4A/ICON0_02.PNG</icon>"|480,720,480SQ|2LPCM
NPUB31501|ps3|edi|NHL® 15||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31501_00_035D31B7DDD72A5D700DB486FA66C35C37226543/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31502|ps3|edi|Diablo III: Reaper of Souls – Ultimate Evil Edition|"<name lang=""1"">Diablo III: Reaper of Souls – Ultimate Evil Edition (English)</name><name lang=""2"">Diablo III: Reaper of Souls – Ultimate Evil Edition (Français)</name><name lang=""3"">Diablo III: Reaper of Souls – Ultimate Evil Edition (Español)</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31502_00_394FB601192ACB6389C0E5D30EEBF34702DAE3CA/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31503|ps3|edi|Diablo III: Reaper of Souls – Ultimate Evil Edition|"<name lang=""3"">Diablo III: Reaper of Souls – Ultimate Evil Edition (Español)</name><name lang=""17"">Diablo III: Reaper of Souls – Ultimate Evil Edition (Português Brasileiro)</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31503_00_575FAFE827E5C189D9F9E0D7B718A06DCB1C6D49/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31504|ps3|edi|Far Cry® 3 Blood Dragon||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31504_00_13A3D76E5772B39AC592919F926DB7EA0E2C28E4/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31505|ps3|edi|WARRIORS OROCHI 3 Ultimate||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31505_00_83019CF048F82641D00500497E42E654B6F85653/ICON0.PNG||480,720,480SQ|2LPCM,Dolby
